Date,GLD,^FTSE,^GSPC,^N225,^STOXX50E
2019-01-02,121.33000183105469,6734.2001953125,2510.030029296875,,
2019-01-03,122.43000030517578,6692.7001953125,2447.889892578125,,2954.659912109375
2019-01-04,121.44000244140625,6837.39990234375,2531.93994140625,19561.9609375,3041.85009765625
2019-01-07,121.86000061035156,6810.89990234375,2549.68994140625,20038.970703125,3033.639892578125
2019-01-08,121.52999877929688,6861.60009765625,2574.409912109375,20204.0390625,3054.93994140625
2019-01-09,122.30999755859375,6906.60009765625,2584.9599609375,20427.060546875,3070.239990234375
2019-01-10,121.58999633789062,6942.89990234375,2596.639892578125,20163.80078125,3075.72998046875
2019-01-11,121.80000305175781,6918.2001953125,2596.260009765625,20359.69921875,3070.0400390625
2019-01-14,122.08999633789062,6855.0,2582.610107421875,20359.69921875,3055.179931640625
2019-01-15,121.87999725341797,6895.0,2610.300048828125,20555.2890625,3068.050048828125
2019-01-16,122.2699966430664,6862.7001953125,2616.10009765625,20442.75,3077.219970703125
2019-01-17,122.11000061035156,6834.89990234375,2635.9599609375,20402.26953125,3069.35009765625
2019-01-18,121.0199966430664,6968.2998046875,2670.7099609375,20666.0703125,3134.919921875
2019-01-21,121.0199966430664,6970.60009765625,2670.7099609375,20719.330078125,3125.070068359375
2019-01-22,121.44999694824219,6901.39990234375,2632.89990234375,20622.91015625,3112.800048828125
2019-01-23,121.27999877929688,6842.89990234375,2638.699951171875,20593.720703125,3112.1298828125
2019-01-24,121.08999633789062,6819.0,2642.330078125,20574.630859375,3126.31005859375
2019-01-25,122.86000061035156,6809.2001953125,2664.760009765625,20773.560546875,3163.239990234375
2019-01-28,123.29000091552734,6747.10009765625,2643.85009765625,20649.0,3137.27001953125
2019-01-29,123.9800033569336,6833.89990234375,2640.0,20664.640625,3153.419921875
2019-01-30,124.69000244140625,6941.60009765625,2681.050048828125,20556.5390625,3161.739990234375
2019-01-31,124.75,6968.89990234375,2704.10009765625,20773.490234375,3159.429931640625
2019-02-01,124.5,7020.2001953125,2706.530029296875,20788.390625,3171.1201171875
2019-02-04,123.95999908447266,7034.10009765625,2724.8701171875,20883.76953125,3165.199951171875
2019-02-05,124.27999877929688,7177.39990234375,2737.699951171875,20844.44921875,3215.0400390625
2019-02-06,123.44000244140625,7173.10009765625,2731.610107421875,20874.060546875,3212.75
2019-02-07,123.73999786376953,7093.60009765625,2706.050048828125,20751.279296875,3150.760009765625
2019-02-08,124.20999908447266,7071.2001953125,2707.8798828125,20333.169921875,3135.6201171875
2019-02-11,123.5999984741211,7129.10009765625,2709.800048828125,20333.169921875,3165.610107421875
2019-02-12,123.86000061035156,7133.10009765625,2744.72998046875,20864.2109375,3190.75
2019-02-13,123.37000274658203,7190.7998046875,2753.030029296875,21144.48046875,3202.3701171875
2019-02-14,124.05999755859375,7197.0,2745.72998046875,21139.7109375,3182.659912109375
2019-02-15,124.80000305175781,7236.7001953125,2775.60009765625,20900.630859375,3241.25
2019-02-18,124.80000305175781,7219.5,2775.60009765625,21281.849609375,3244.7900390625
2019-02-19,126.69999694824219,7179.2001953125,2779.760009765625,21302.650390625,3239.409912109375
2019-02-20,126.4800033569336,7228.60009765625,2784.699951171875,21431.490234375,3259.489990234375
2019-02-21,125.05000305175781,7167.39990234375,2774.8798828125,21464.23046875,3263.699951171875
2019-02-22,125.5,7178.60009765625,2792.669921875,21425.509765625,3270.550048828125
2019-02-25,125.37000274658203,7183.7001953125,2796.110107421875,21528.23046875,3280.010009765625
2019-02-26,125.58000183105469,7151.10009765625,2793.89990234375,21449.390625,3289.320068359375
2019-02-27,124.69000244140625,7107.2001953125,2792.3798828125,21556.509765625,3282.77001953125
2019-02-28,123.98999786376953,7074.7001953125,2784.489990234375,21385.16015625,3298.260009765625
2019-03-01,121.87999725341797,7106.7001953125,2803.68994140625,21602.689453125,3312.10009765625
2019-03-04,121.55999755859375,7134.39990234375,2792.81005859375,21822.0390625,3317.1201171875
2019-03-05,121.72000122070312,7183.39990234375,2789.64990234375,21726.279296875,3327.18994140625
2019-03-06,121.61000061035156,7196.0,2771.449951171875,21596.810546875,3324.669921875
2019-03-07,121.51000213623047,7157.60009765625,2748.929931640625,21456.009765625,3308.85009765625
2019-03-08,122.83999633789062,7104.2998046875,2743.070068359375,21025.560546875,3283.60009765625
2019-03-11,122.23999786376953,7130.60009765625,2783.300048828125,21125.08984375,3304.43994140625
2019-03-12,122.9800033569336,7151.2001953125,2791.52001953125,21503.689453125,3303.949951171875
2019-03-13,123.83999633789062,7159.2001953125,2810.919921875,21290.240234375,3323.449951171875
2019-03-14,122.41000366210938,7185.39990234375,2808.47998046875,21287.01953125,3342.030029296875
2019-03-15,122.97000122070312,7228.2998046875,2822.47998046875,21450.849609375,3386.080078125
2019-03-18,123.04000091552734,7299.2001953125,2832.93994140625,21584.5,3387.93994140625
2019-03-19,123.37999725341797,7324.0,2832.570068359375,21566.849609375,3409.0
2019-03-20,124.18000030517578,7291.0,2824.22998046875,21608.919921875,3372.3798828125
2019-03-21,123.68000030517578,7355.2998046875,2854.8798828125,21608.919921875,3367.39990234375
2019-03-22,123.97000122070312,7207.60009765625,2800.7099609375,21627.33984375,3305.72998046875
2019-03-25,124.91999816894531,7177.60009765625,2798.360107421875,20977.109375,3300.47998046875
2019-03-26,124.30000305175781,7196.2998046875,2818.4599609375,21428.390625,3319.530029296875
2019-03-27,123.6500015258789,7194.2001953125,2805.3701171875,21378.73046875,3322.0400390625
2019-03-28,121.9000015258789,7234.2998046875,2815.43994140625,21033.759765625,3320.2900390625
2019-03-29,122.01000213623047,7279.2001953125,2834.39990234375,21205.810546875,3351.7099609375
2019-04-01,121.52999877929688,7317.39990234375,2867.18994140625,21509.029296875,3385.3798828125
2019-04-02,121.9800033569336,7391.10009765625,2867.239990234375,21505.310546875,3395.699951171875
2019-04-03,121.80000305175781,7418.2998046875,2873.39990234375,21713.2109375,3435.56005859375
2019-04-04,122.11000061035156,7401.89990234375,2879.389892578125,21724.94921875,3441.929931640625
2019-04-05,121.9800033569336,7446.89990234375,2892.739990234375,21807.5,3447.469970703125
2019-04-08,122.51000213623047,7451.89990234375,2895.77001953125,21761.650390625,3438.06005859375
2019-04-09,123.1500015258789,7425.60009765625,2878.199951171875,21802.58984375,3417.219970703125
2019-04-10,123.52999877929688,7421.89990234375,2888.2099609375,21687.5703125,3424.64990234375
2019-04-11,121.94999694824219,7418.0,2888.320068359375,21711.380859375,3435.340087890625
2019-04-12,121.83000183105469,7437.10009765625,2907.409912109375,21870.560546875,3447.830078125
2019-04-15,121.5999984741211,7436.89990234375,2905.580078125,22169.109375,3450.4599609375
