Date,GLD,^FTSE,^GSPC,^N225,^STOXX50E
2019-01-07,0.003458482876331992,-0.0038757422965587374,0.007010434848680358,0.02438455772143877,-0.0026990827340410695
2019-01-08,-0.00270804061547536,0.007443978921941374,0.009695285023358924,0.00823736716922574,0.007021284523662796
2019-01-09,0.006418158373500793,0.006558237052516569,0.004098045450532162,0.011038460363548941,0.005008297747772339
2019-01-10,-0.005886691481276629,0.005255813884434746,0.004518418782931244,-0.012887794845513167,0.0017881306516223106
2019-01-11,0.001727170986037141,-0.003557549061439347,-0.00014629784190933748,0.009715352756418882,-0.0018499482862220917
2019-01-14,0.002380897199235621,-0.009135352191068757,-0.005257525167898014,0.0,-0.004840362742113524
2019-01-15,-0.0017200351443330542,0.005835156819839593,0.010721688622945758,0.009606715779468589,0.004212556207970675
2019-01-16,0.003199863787636481,-0.0046845256979695105,0.0022219854881162515,-0.005474944290874029,0.0029888436397909057
2019-01-17,-0.001308546962521917,-0.004050926337673677,0.0075914003822110665,-0.001980187046752513,-0.002557461969505126
2019-01-18,-0.008926410300850951,0.019517462471982272,0.01318305304897005,0.012929972366355624,0.021362771313972573
2019-01-21,0.0,0.0003301082090645391,0.0,0.0025771597995960516,-0.003141979304445486
2019-01-22,0.0035531343340227117,-0.009927437285602969,-0.014157306164566674,-0.004653621594493451,-0.003926318214583779
2019-01-23,-0.0013997379433263735,-0.008476541111627656,0.0022029127742235755,-0.001415389627547503,-0.00021529362795957852
2019-01-24,-0.0015666428373899421,-0.003492657014544931,0.0013757255543636049,-0.0009269740046101704,0.004556421587532
2019-01-25,0.01461726258147622,-0.001437132231632221,0.008488694060713842,0.009668688048872331,0.011812626050672792
2019-01-28,0.0034999210730881636,-0.009120028178786765,-0.007846827493937836,-0.005996109650723169,-0.008209927410914197
2019-01-29,0.005596580714432919,0.01286475721883118,-0.0014562465775435074,0.0007574519347184339,0.005147756566443951
2019-01-30,0.005726722578225596,0.015759697515552284,0.01554926091974429,-0.005231233606318719,0.0026384270301773594
